epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,148.935,0.75998,1.17243,1.14261,0.84879,0.4,0.59087,0.3611,1.86448,1.94549,1.55461,1.60323e-05,1.60323e-05,1.60323e-05
87,150.696,0.76847,0.88636,1.0907,0.84879,0.4,0.59087,0.3611,1.86448,1.94549,1.55461,1.52077e-05,1.52077e-05,1.52077e-05
88,152.408,0.841,1.15461,1.41257,0.84535,0.40869,0.58416,0.36706,1.84555,1.92851,1.54055,1.43596e-05,1.43596e-05,1.43596e-05
89,154.084,1.11204,1.23799,1.52539,0.84535,0.40869,0.58416,0.36706,1.84555,1.92851,1.54055,1.34879e-05,1.34879e-05,1.34879e-05
90,155.872,0.7347,0.85157,1.06729,0.84535,0.40869,0.58416,0.36706,1.84555,1.92851,1.54055,1.25927e-05,1.25927e-05,1.25927e-05
91,157.548,0.55524,0.78881,1.00744,0.84535,0.40869,0.58416,0.36706,1.84555,1.92851,1.54055,1.16739e-05,1.16739e-05,1.16739e-05
92,159.242,0.76805,0.86562,0.98554,0.96745,0.35178,0.69749,0.45666,1.85991,1.84839,1.52904,1.07315e-05,1.07315e-05,1.07315e-05
93,160.898,0.6244,0.72482,1.08142,0.96745,0.35178,0.69749,0.45666,1.85991,1.84839,1.52904,9.76562e-06,9.76562e-06,9.76562e-06
94,162.542,0.6128,0.73438,0.9543,0.96745,0.35178,0.69749,0.45666,1.85991,1.84839,1.52904,8.77613e-06,8.77613e-06,8.77613e-06
95,164.415,0.47819,0.66317,0.9741,0.96745,0.35178,0.69749,0.45666,1.85991,1.84839,1.52904,7.76308e-06,7.76308e-06,7.76308e-06
96,166.38,0.63012,0.78516,1.09766,0.96792,0.35185,0.69906,0.44061,1.86779,1.87518,1.53828,6.72648e-06,6.72648e-06,6.72648e-06
97,168.074,0.74923,0.83046,1.0823,0.96792,0.35185,0.69906,0.44061,1.86779,1.87518,1.53828,5.6663e-06,5.6663e-06,5.6663e-06
98,169.728,0.6591,0.7337,0.99991,0.96792,0.35185,0.69906,0.44061,1.86779,1.87518,1.53828,4.58257e-06,4.58257e-06,4.58257e-06
99,171.379,0.60332,0.78733,1.00222,0.96792,0.35185,0.69906,0.44061,1.86779,1.87518,1.53828,3.47528e-06,3.47528e-06,3.47528e-06
100,173.118,0.60159,0.71284,1.04185,0.96561,0.35198,0.7688,0.4066,1.87533,1.87548,1.54365,2.34442e-06,2.34442e-06,2.34442e-06
